date,time-resp-end,min-D-L,channel,id,treatment,filename,ext,run,notes
26Apr2024,1305,30,1,PVC_6,PVC_0.1_percent,1_anemone-PVC-PP-26APR2024_O2,.csv,1,
26Apr2024,1305,30,2,PVC_24,PVC_100_percent,1_anemone-PVC-PP-26APR2024_O2,.csv,1,
26Apr2024,1305,30,3,Control_3,Control,1_anemone-PVC-PP-26APR2024_O2,.csv,1,
26Apr2024,1305,30,4,PP(A)_17,PP(A)_10_percent,1_anemone-PVC-PP-26APR2024_O2,.csv,1,
26Apr2024,1305,30,5,PP(A)_9,PP(A)_0.1_percent,1_anemone-PVC-PP-26APR2024_O2,.csv,1,
26Apr2024,1305,30,7,blank,blank,1_anemone-PVC-PP-26APR2024_O2,.csv,1,
26Apr2024,1440,33,1,PP(A)_18,PP(A)_10_percent,2_anemone-PVC-PP-26APR2024_O2,.csv,2,
26Apr2024,1440,33,2,blank,blank,2_anemone-PVC-PP-26APR2024_O2,.csv,2,
26Apr2024,1440,33,3,PVC_23,PVC_100_percent,2_anemone-PVC-PP-26APR2024_O2,.csv,2,
26Apr2024,1440,33,4,PP(A)_10,PP(A)_0.1_percent,2_anemone-PVC-PP-26APR2024_O2,.csv,2,
26Apr2024,1440,33,5,PVC_1,PVC_0.01_percent,2_anemone-PVC-PP-26APR2024_O2,.csv,2,
26Apr2024,1440,33,7,PP(A)_15,PP(A)_1_percent,2_anemone-PVC-PP-26APR2024_O2,.csv,2,
26Apr2024,1610,33,1,PP(A)_21,PP(A)_100_percent,3_anemone-PVC-PP-26APR2024_O2,.csv,3,
26Apr2024,1610,33,2,PP(A)_5,PP(A)_0.01_percent,3_anemone-PVC-PP-26APR2024_O2,.csv,3,
26Apr2024,1610,33,3,PVC_20,PVC_10_percent,3_anemone-PVC-PP-26APR2024_O2,.csv,3,
26Apr2024,1610,33,4,blank,blank,3_anemone-PVC-PP-26APR2024_O2,.csv,3,
26Apr2024,1610,33,5,PVC_13,PVC_1_percent,3_anemone-PVC-PP-26APR2024_O2,.csv,3,
26Apr2024,1610,33,7,PVC_8,PVC_0.1_percent,3_anemone-PVC-PP-26APR2024_O2,.csv,3,"stir bar stalled, restarted 50mins in"
26Apr2024,1740,35,1,blank,blank,4_anemone-PVC-PP-26APR2024_O2,.csv,4,
26Apr2024,1740,35,2,Control_1,Control,4_anemone-PVC-PP-26APR2024_O2,.csv,4,
26Apr2024,1740,35,3,PVC_15,PVC_1_percent,4_anemone-PVC-PP-26APR2024_O2,.csv,4,
26Apr2024,1740,35,4,PVC_10,PVC_0.1_percent,4_anemone-PVC-PP-26APR2024_O2,.csv,4,
26Apr2024,1740,35,5,PP(A)_12,PP(A)_1_percent,4_anemone-PVC-PP-26APR2024_O2,.csv,4,
26Apr2024,1740,35,7,PP(A)_1,PP(A)_0.01_percent,4_anemone-PVC-PP-26APR2024_O2,.csv,4,
26Apr2024,1910,30,1,PP(A)_7,PP(A)_0.1_percent,5_anemone-PVC-PP-26APR2024_O2,.csv,5,
26Apr2024,1910,30,2,PVC_2,PVC_0.01_percent,5_anemone-PVC-PP-26APR2024_O2,.csv,5,
26Apr2024,1910,30,3,blank,blank,5_anemone-PVC-PP-26APR2024_O2,.csv,5,
26Apr2024,1910,30,4,PVC_16,PVC_10_percent,5_anemone-PVC-PP-26APR2024_O2,.csv,5,
26Apr2024,1910,30,5,PP(A)_19,PP(A)_10_percent,5_anemone-PVC-PP-26APR2024_O2,.csv,5,
26Apr2024,1910,30,7,PP(A)_24,PP(A)_100_percent,5_anemone-PVC-PP-26APR2024_O2,.csv,5,anemone tentacle contacted probe
26Apr2024,2040,31,1,PVC_25,PP(A)_100_percent,6_anemone-PVC-PP-26APR2024_O2,.csv,6,
26Apr2024,2040,31,2,PVC_18,PVC_10_percent,6_anemone-PVC-PP-26APR2024_O2,.csv,6,temp probe popped out at 50 mins
26Apr2024,2040,31,3,Control_5,Control,6_anemone-PVC-PP-26APR2024_O2,.csv,6,
26Apr2024,2040,31,4,PVC_4,PVC_0.01_percent,6_anemone-PVC-PP-26APR2024_O2,.csv,6,
26Apr2024,2040,31,5,blank,blank,6_anemone-PVC-PP-26APR2024_O2,.csv,6,
26Apr2024,2040,31,7,PP(A)_13,PP(A)_1_percent,6_anemone-PVC-PP-26APR2024_O2,.csv,6,
26Apr2024,2210,33,1,PVC_12,PVC_1_percent,7_anemone-PVC-PP-26APR2024_O2,.csv,7,
26Apr2024,2210,33,2,PVC_9,PVC_0.1_percent,7_anemone-PVC-PP-26APR2024_O2,.csv,7,
26Apr2024,2210,33,3,PP(A)_20,PVC_10_percent,7_anemone-PVC-PP-26APR2024_O2,.csv,7,
26Apr2024,2210,33,4,PP(A)_8,PP(A)_0.1_percent,7_anemone-PVC-PP-26APR2024_O2,.csv,7,
26Apr2024,2210,33,5,PP(A)_3,PP(A)_0.01_percent,7_anemone-PVC-PP-26APR2024_O2,.csv,7,
26Apr2024,2210,33,7,blank,blank,7_anemone-PVC-PP-26APR2024_O2,.csv,7,
26Apr2024,2345,30,1,PVC_17,PVC_10_percent,8_anemone-PVC-PP-26APR2024_O2,.csv,8,
26Apr2024,2345,30,2,PP(A)_22,PP(A)_100_percent,8_anemone-PVC-PP-26APR2024_O2,.csv,8,
26Apr2024,2345,30,3,PP(A)_4,PP(A)_0.01_percent,8_anemone-PVC-PP-26APR2024_O2,.csv,8,
26Apr2024,2345,30,4,Control_4,Control,8_anemone-PVC-PP-26APR2024_O2,.csv,8,
26Apr2024,2345,30,5,blank,blank,8_anemone-PVC-PP-26APR2024_O2,.csv,8,
26Apr2024,2345,30,7,PVC_14,PVC_1_percent,8_anemone-PVC-PP-26APR2024_O2,.csv,8,
26Apr2024,115,30,1,PP(A)_16,PP(A)_10_percent,9_anemone-PVC-PP-26APR2024_O2,.csv,9,
26Apr2024,115,30,2,PVC_7,PVC_0.1_percent,9_anemone-PVC-PP-26APR2024_O2,.csv,9,
26Apr2024,115,30,3,PVC_3,PVC_0.01_percent,9_anemone-PVC-PP-26APR2024_O2,.csv,9,
26Apr2024,115,30,4,blank,blank,9_anemone-PVC-PP-26APR2024_O2,.csv,9,
26Apr2024,115,30,5,PP(A)_6,PP(A)_0.1_percent,9_anemone-PVC-PP-26APR2024_O2,.csv,9,
26Apr2024,115,30,7,PP(A)_11,PP(A)_1_percent,9_anemone-PVC-PP-26APR2024_O2,.csv,9,
26Apr2024,240,30,1,PVC_21,PVC_100_percent,10_anemone-PVC-PP-26APR2024_O2,.csv,10,
26Apr2024,240,30,2,PP(A)_25,PP(A)_100_percent,10_anemone-PVC-PP-26APR2024_O2,.csv,10,
26Apr2024,240,30,3,blank,blank,10_anemone-PVC-PP-26APR2024_O2,.csv,10,
26Apr2024,240,30,4,PP(A)_1,PP(A)_0.01_percent,10_anemone-PVC-PP-26APR2024_O2,.csv,10,
26Apr2024,240,30,5,PVC_19,PVC_10_percent,10_anemone-PVC-PP-26APR2024_O2,.csv,10,
26Apr2024,240,30,7,PP(A)_14,PP(A)_1_percent,10_anemone-PVC-PP-26APR2024_O2,.csv,10,
26Apr2024,413,38,1,Control_2,Control,11_anemone-PVC-PP-26APR2024_O2,.csv,11,
26Apr2024,413,38,2,blank,blank,11_anemone-PVC-PP-26APR2024_O2,.csv,11,
