Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm
,,D,,"Device Nr: #1, DIVING-PAM-II (UWFC0119A)",,,,,,,,,,,,,,,
24-05-26,10:36:48.150,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,10:36:48.150,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.006, ETRmPot: 15.800 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,10:36:48.150,REG2,,"#1: alpha: 0.095, ETRm: 23.443, Ik: 246.782   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,10:36:49.546,FO,55,95,229,0,0.585,0.0,0,0.84,0,0,0,0,0,0,95,229,0.585
24-05-26,10:37:09.481,F,56,157,247,25,0.364,3.8,129,0.84,0.763,0.119,0.627,-0.073,0.686,-0.050,95,229,0.585
24-05-26,10:37:29.465,F,57,170,249,45,0.317,6.0,125,0.84,0.637,0.075,0.468,-0.080,0.742,-0.059,95,229,0.585
24-05-26,10:37:49.512,F,58,166,236,66,0.297,8.2,120,0.84,0.603,0.134,0.436,-0.030,0.725,-0.022,95,229,0.585
24-05-26,10:38:09.501,F,59,166,228,91,0.272,10.4,116,0.84,0.554,0.164,0.387,0.004,0.725,0.003,95,229,0.585
24-05-26,10:38:29.489,F,60,177,229,127,0.227,12.1,122,0.84,0.486,0.201,0.335,0.000,0.773,0.000,95,229,0.585
24-05-26,10:38:49.473,F,61,199,243,192,0.181,14.6,125,0.84,0.373,0.119,0.234,-0.058,0.869,-0.050,95,229,0.585
24-05-26,10:39:09.461,F,62,212,247,288,0.142,17.2,125,0.84,0.287,0.090,0.169,-0.073,0.926,-0.068,95,229,0.585
24-05-26,10:39:29.456,F,63,225,251,424,0.104,18.5,128,0.84,0.211,0.082,0.120,-0.088,0.983,-0.087,95,229,0.585
24-05-26,10:39:49.443,F,64,231,249,635,0.072,19.2,125,0.84,0.145,0.075,0.078,-0.080,1.009,-0.081,95,229,0.585
24-05-26,10:40:09.436,F,65,228,244,830,0.066,23.0,125,0.84,0.134,0.112,0.073,-0.061,0.996,-0.062,95,229,0.585
