"Date","id","treatment","RLC_start","RLC_end","RLC","Respirometry","wet_weight_g","whole_anemone","note","date","time-resp-end","min-D-L","channel","filename","ext","run","notes"
"26Apr2024","Control_1","Control",474,486,"complete","complete",0.84,"yes","healthy","26Apr2024",1740,35,"2","4_anemone-PVC-PP-26APR2024_O2",".csv",4,NA
"26Apr2024","Control_2","Control",487,499,"complete","complete",0.58,"yes","healthy","26Apr2024",413,38,"1","11_anemone-PVC-PP-26APR2024_O2",".csv",11,NA
"26Apr2024","Control_3","Control",500,512,"complete","complete",3.61,"yes","healthy","26Apr2024",1305,30,"3","1_anemone-PVC-PP-26APR2024_O2",".csv",1,NA
"26Apr2024","Control_4","Control",513,525,"complete","complete",1.05,"yes","healthy","26Apr2024",2345,30,"4","8_anemone-PVC-PP-26APR2024_O2",".csv",8,NA
"26Apr2024","Control_5","Control",526,538,"complete","complete",1.49,"yes","healthy","26Apr2024",2040,31,"3","6_anemone-PVC-PP-26APR2024_O2",".csv",6,NA
"26Apr2024","PP(A)_1","PP_A_0.01_mgL",552,564,"complete","complete",0.97,"yes","healthy","26Apr2024",240,30,"4","10_anemone-PVC-PP-26APR2024_O2",".csv",10,NA
"26Apr2024","PP(A)_2","PP_A_0.01_mgL",565,577,"complete","complete",0.48,"yes","healthy","26Apr2024",1740,35,"7","4_anemone-PVC-PP-26APR2024_O2",".csv",4,NA
"26Apr2024","PP(A)_3","PP_A_0.01_mgL",610,622,"complete","complete",1.25,"yes","healthy","26Apr2024",2210,33,"5","7_anemone-PVC-PP-26APR2024_O2",".csv",7,NA
"26Apr2024","PP(A)_4","PP_A_0.01_mgL",623,635,"complete","complete",1.1,"yes","bleached","26Apr2024",2345,30,"3","8_anemone-PVC-PP-26APR2024_O2",".csv",8,NA
"26Apr2024","PP(A)_5","PP_A_0.01_mgL",636,648,"complete","complete",1.7,"yes","juicy one","26Apr2024",1610,33,"2","3_anemone-PVC-PP-26APR2024_O2",".csv",3,NA
"26Apr2024","PP(A)_6","PP_A_0.1_mgL",649,661,"complete","complete",1.1,"yes","healthy","26Apr2024",115,30,"5","9_anemone-PVC-PP-26APR2024_O2",".csv",9,NA
"26Apr2024","PP(A)_7","PP_A_0.1_mgL",680,692,"complete","complete",1.28,"yes","healthy","26Apr2024",1910,30,"1","5_anemone-PVC-PP-26APR2024_O2",".csv",5,NA
"26Apr2024","PP(A)_8","PP_A_0.1_mgL",693,705,"complete","complete",1.15,"yes","heallthy","26Apr2024",2210,33,"4","7_anemone-PVC-PP-26APR2024_O2",".csv",7,NA
"26Apr2024","PP(A)_9","PP_A_0.1_mgL",706,718,"complete","complete",1.18,"yes","healthy","26Apr2024",1305,30,"5","1_anemone-PVC-PP-26APR2024_O2",".csv",1,NA
"26Apr2024","PP(A)_10","PP_A_0.1_mgL",719,731,"complete","complete",1.21,"yes","RLC reading is weird, healthy","26Apr2024",1440,33,"4","2_anemone-PVC-PP-26APR2024_O2",".csv",2,NA
"26Apr2024","PP(A)_11","PP_A_1_mgL",732,744,"complete","complete",0.89,"yes","cleavage","26Apr2024",115,30,"7","9_anemone-PVC-PP-26APR2024_O2",".csv",9,NA
"26Apr2024","PP(A)_12","PP_A_1_mgL",765,777,"complete","complete",0.49,"yes","healthy","26Apr2024",1740,35,"5","4_anemone-PVC-PP-26APR2024_O2",".csv",4,NA
"26Apr2024","PP(A)_13","PP_A_1_mgL",778,790,"complete","complete",0.85,"yes","weird RLC, healthy","26Apr2024",2040,31,"7","6_anemone-PVC-PP-26APR2024_O2",".csv",6,NA
