"run","channel","phot_rate","phot_r2","phot_bg_rate_run","phot_rate_bg_adj_run","phot_bg_rate_channel","phot_rate_bg_adj_channel","phot_bg_rate_mean","phot_rate_bg_adj_mean","Date","id","treatment","RLC_start","RLC_end","RLC","Respirometry","wet_weight_g","whole_anemone","note","date","time-resp-end","min-D-L","filename","ext","notes","qaqc_phot_rate","qaqc_phot_r2"
1,1,0.00632480259151362,0.893,0.0253169571587261,-0.0189921545672124,0.0119121020879171,-0.00558729949640349,-0.0196525144835521,-0.0117276550202309,"26Apr2024","PVC_6","PVC_0.1_mgL",416,428,"complete","complete",0.86,"yes","beginning Fo didn't read, but the rest of the ETR was captured, healthy","26Apr2024",1305,30,"1_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
1,2,0.00620874055669276,0.912,0.0253169571587261,-0.0191082166020333,0.0166314092897948,-0.010422668733102,-0.0196525144835521,-0.0118437170550517,"26Apr2024","PVC_24","PVC_100_mgL",361,373,"complete","complete",0.66,"yes","aggragate 12, low simbiont (Symbiont?) density","26Apr2024",1305,30,"1_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
1,3,0.0337869636163246,0.995,0.0253169571587261,0.0084700064575985,0.0248765099814239,0.00891045363490066,-0.0196525144835521,0.0157345060045801,"26Apr2024","Control_3","Control",500,512,"complete","complete",3.61,"yes","healthy","26Apr2024",1305,30,"1_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
1,4,0.0230621711825488,0.986,0.0253169571587261,-0.00225478597617726,0.0126786711484261,0.0103835000341227,-0.0196525144835521,0.00500971357080433,"26Apr2024","PP(A)_17","PP_A_10_mgL",847,859,"complete","complete",3.23,"yes","healthy","26Apr2024",1305,30,"1_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
1,5,0.00707965163730289,0.915,0.0253169571587261,-0.0182373055214232,0.0113309499772094,-0.00425129833990655,-0.0196525144835521,-0.0109728059744416,"26Apr2024","PP(A)_9","PP_A_0.1_mgL",706,718,"complete","complete",1.18,"yes","healthy","26Apr2024",1305,30,"1_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
1,7,-0.00484795675912846,0.075,0.0253169571587261,-0.0301649139178545,0.0278149254237819,-0.0326628821829104,-0.0196525144835521,-0.0229004143708729,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",1305,30,"1_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.13459467313512,0.951
2,1,0.00284990049775486,0.617,0.0313432887167352,-0.0284933882189803,0.0119121020879171,-0.00906220159016225,-0.0196525144835521,-0.0152025571139896,"26Apr2024","PP(A)_18","PP_A_10_mgL",860,872,"complete","complete",0.85,"yes","healthy","26Apr2024",1440,33,"2_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.0176170902544921,0.982
2,2,0.0363829199427857,0.996,0.0313432887167352,0.00503963122605049,0.0166314092897948,0.0197515106529909,-0.0196525144835521,0.0183304623310412,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",1440,33,"2_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
2,3,0.00831151987367702,0.806,0.0313432887167352,-0.0230317688430582,0.0248765099814239,-0.0165649901077469,-0.0196525144835521,-0.00974093773806745,"26Apr2024","PVC_23","PVC_100_mgL",461,473,"complete","complete",1.38,"yes","healthy","26Apr2024",1440,33,"2_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.0305618643225599,0.969
2,4,0.0109384484993964,0.96,0.0313432887167352,-0.0204048402173388,0.0126786711484261,-0.00174022264902968,-0.0196525144835521,-0.00711400911234807,"26Apr2024","PP(A)_10","PP_A_0.1_mgL",719,731,"complete","complete",1.21,"yes","RLC reading is weird, healthy","26Apr2024",1440,33,"2_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
2,5,0.0156992928482049,0.986,0.0313432887167352,-0.0156439958685303,0.0113309499772094,0.00436834287099548,-0.0196525144835521,-0.00235316476353956,"26Apr2024","PVC_1","PVC_0.01_mgL",94,106,"complete","complete",1.09,"yes","healthy","26Apr2024",1440,33,"2_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
2,7,0.0223641622390597,0.993,0.0313432887167352,-0.00897912647767552,0.0278149254237819,-0.0054507631847222,-0.0196525144835521,0.00431170462731521,"26Apr2024","PP(A)_15","PP_A_1_mgL",810,822,"complete","complete",0.85,"yes","bleached","26Apr2024",1440,33,"2_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
3,1,0.0231463813807116,0.903,0.0180761800129892,0.00507020136772242,0.0119121020879171,0.0112342792927945,-0.0196525144835521,0.00509392376896715,"26Apr2024","PP(A)_21","PP_A_100_mgL",899,911,"complete","complete",2.76,"yes","healthy, chonk","26Apr2024",1610,33,"3_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
3,2,0.0126160336538395,0.914,0.0180761800129892,-0.00546014635914975,0.0166314092897948,-0.0040153756359553,-0.0196525144835521,-0.00543642395790502,"26Apr2024","PP(A)_5","PP_A_0.01_mgL",636,648,"complete","complete",1.7,"yes","juicy one","26Apr2024",1610,33,"3_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
3,3,0.0182912018534892,0.78,0.0180761800129892,0.000215021840500006,0.0248765099814239,-0.00658530812793469,-0.0196525144835521,0.000238744241744738,"26Apr2024","PVC_20","PVC_10_mgL",280,292,"complete","complete",0.97,"yes","bleached","26Apr2024",1610,33,"3_anemone-PVC-PP-26APR2024_O2",".csv",NA,0.0508369288303101,0.951
3,4,0.00738088969690743,0.832,0.0180761800129892,-0.0106952903160818,0.0126786711484261,-0.00529778145151865,-0.0196525144835521,-0.010671567914837,NA,"blank","blank",NA,NA,NA,NA,NA,NA,NA,"26Apr2024",1610,33,"3_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
3,5,0.00886104742053077,0.907,0.0180761800129892,-0.00921513259245844,0.0113309499772094,-0.00246990255667866,-0.0196525144835521,-0.00919141019121371,"26Apr2024","PVC_13","PVC_1_mgL",980,992,"complete","complete",1.2,"yes","placement_issue, healthy","26Apr2024",1610,33,"3_anemone-PVC-PP-26APR2024_O2",".csv",NA,NA,NA
