"delta_t","1","2","3","5","7","4"
1.16,NA,NA,NA,9.918,NA,NA
1.161,11.151,12.017,12.813,NA,11.734,9.914
1.327,11.144,12.018,NA,9.901,11.717,9.905
1.328,NA,NA,12.796,NA,NA,NA
1.494,11.151,12.008,12.773,9.884,11.684,9.9
1.66,11.135,12.001,NA,NA,11.66,9.876
1.661,NA,NA,12.751,9.861,NA,NA
1.827,NA,NA,12.727,NA,NA,NA
1.828,11.137,11.996,NA,9.849,11.635,9.855
1.994,11.134,11.994,12.719,9.823,11.613,9.841
2.161,11.113,11.97,12.701,9.819,11.58,9.819
2.327,11.123,11.978,12.689,9.81,11.555,9.808
2.494,11.114,11.965,12.668,9.789,11.536,9.794
2.661,11.109,11.971,12.663,9.764,11.495,9.784
2.827,11.102,11.95,NA,9.763,11.497,9.804
2.828,NA,NA,12.642,NA,NA,NA
2.994,11.11,11.969,12.649,9.78,11.496,9.817
3.16,11.124,11.983,NA,NA,NA,9.826
3.161,NA,NA,12.669,9.778,11.491,NA
3.327,11.148,12.001,12.679,9.761,11.478,9.84
3.494,11.154,11.997,12.648,9.759,11.477,9.826
3.661,11.165,12.013,12.673,9.754,11.463,9.817
3.827,11.184,12.01,NA,9.752,11.445,9.814
3.828,NA,NA,12.667,NA,NA,NA
3.994,11.178,12.014,12.677,9.756,11.432,9.818
4.161,11.176,12.016,12.664,9.747,11.411,9.804
4.328,11.174,12.018,12.664,9.722,11.395,9.798
4.494,11.179,NA,NA,NA,NA,9.784
4.495,NA,12.01,12.654,9.723,11.374,NA
4.66,NA,12.013,12.644,NA,11.349,NA
4.661,11.176,NA,NA,9.714,NA,9.785
4.827,NA,NA,NA,9.698,NA,NA
4.828,11.169,12.012,12.642,NA,11.325,9.772
4.994,11.158,12.016,12.635,9.702,11.317,9.769
5.161,11.165,11.995,12.617,9.697,11.302,9.77
5.327,11.164,11.999,12.616,9.692,11.278,9.757
5.494,NA,11.986,12.609,NA,11.265,NA
5.495,11.156,NA,NA,9.683,NA,9.752
5.66,11.155,11.988,12.594,9.67,11.253,9.742
5.827,11.157,11.985,12.589,9.66,11.231,9.732
5.994,11.15,11.987,12.58,9.651,11.212,NA
5.995,NA,NA,NA,NA,NA,9.734
6.161,11.157,11.98,12.573,9.649,11.208,9.714
6.327,11.146,11.979,12.567,9.616,11.186,9.711
6.494,NA,11.986,NA,NA,11.185,NA
6.495,11.143,NA,12.567,9.606,NA,9.699
6.661,11.144,11.965,12.553,9.619,11.186,9.696
6.828,11.141,11.97,12.556,9.605,11.181,9.691
6.994,11.134,11.972,12.538,9.596,11.174,9.676
7.161,11.14,11.958,12.536,9.584,11.145,9.666
7.327,NA,11.949,12.524,9.575,11.13,9.66
7.328,11.129,NA,NA,NA,NA,NA
7.494,11.125,11.945,12.513,9.56,11.114,9.652
7.66,NA,11.94,12.509,9.559,11.094,9.646
7.661,11.119,NA,NA,NA,NA,NA
7.827,NA,11.934,12.495,9.556,11.077,9.642
7.828,11.105,NA,NA,NA,NA,NA
7.994,11.104,11.925,12.498,9.553,11.068,9.643
8.161,11.104,11.926,12.504,9.546,11.053,9.638
8.327,11.104,NA,NA,9.536,11.047,NA
8.328,NA,11.922,12.496,NA,NA,9.63
8.494,11.095,11.923,12.488,9.522,11.023,9.628
8.66,NA,NA,NA,NA,11.016,NA
8.661,11.098,11.925,12.48,9.51,NA,9.617
8.827,NA,11.924,12.482,NA,NA,9.622
8.828,11.097,NA,NA,9.499,11.006,NA
8.994,11.091,11.911,12.46,9.492,10.987,9.614
9.16,NA,11.92,NA,NA,NA,NA
9.161,11.088,NA,12.464,9.495,10.983,9.615
9.327,11.093,11.91,12.452,9.478,10.976,NA
9.328,NA,NA,NA,NA,NA,9.6
9.494,11.082,11.907,12.448,9.46,10.964,9.602
9.66,NA,NA,12.449,9.446,10.947,9.597
9.661,11.086,11.906,NA,NA,NA,NA
9.827,11.082,11.91,NA,NA,10.944,NA
9.828,NA,NA,12.438,9.447,NA,9.596
9.994,11.07,11.905,12.436,9.443,10.939,9.591
10.161,11.059,11.893,12.429,9.433,10.929,9.596
10.328,11.061,11.896,12.432,9.425,10.928,9.581
10.494,11.075,11.881,12.418,9.424,10.905,9.583
10.661,11.06,11.881,12.417,9.412,10.899,9.581
10.827,11.067,NA,12.416,9.388,10.887,9.58
10.828,NA,11.882,NA,NA,NA,NA
10.994,11.06,11.879,12.403,9.388,10.877,9.58
11.16,11.054,NA,12.408,9.398,10.871,9.564
11.161,NA,11.873,NA,NA,NA,NA
11.328,11.051,11.87,12.403,9.401,10.859,9.566
11.494,11.054,11.866,12.399,9.394,10.85,9.56
11.661,11.042,11.864,12.401,9.39,10.841,9.561
11.827,11.048,11.868,12.39,9.378,10.837,9.552
11.994,11.028,11.865,12.375,9.374,10.833,9.557
12.16,NA,11.851,NA,NA,10.829,NA
12.161,11.038,NA,12.371,9.364,NA,9.543
12.327,11.031,11.861,NA,NA,10.823,NA
12.328,NA,NA,12.376,9.362,NA,9.548
12.494,11.027,11.842,12.369,9.346,10.825,9.536
12.66,11.033,NA,NA,NA,NA,NA
12.661,NA,11.846,12.369,9.346,10.817,9.539
12.827,11.028,11.831,12.37,9.343,NA,9.535
12.828,NA,NA,NA,NA,10.825,NA
12.994,11.023,11.839,12.358,9.344,10.809,9.538
13.161,11.024,11.834,12.35,9.338,10.801,9.527
13.327,NA,NA,12.34,9.325,10.799,9.53
13.328,11.024,11.842,NA,NA,NA,NA
13.494,11.019,11.824,12.342,9.312,10.788,9.527
13.66,NA,NA,NA,9.309,NA,9.528
13.661,11.012,11.819,12.354,NA,10.785,NA
13.827,11.02,NA,NA,9.313,10.774,9.527
13.828,NA,11.814,12.353,NA,NA,NA
13.994,11.009,11.811,12.34,9.308,10.766,9.53
14.16,NA,NA,NA,9.3,10.761,NA
14.161,11.011,11.798,12.325,NA,NA,9.519
14.327,11.009,11.803,12.33,9.299,10.748,9.518
14.494,11.016,11.808,12.315,9.296,10.754,9.525
14.66,NA,NA,NA,NA,NA,9.512
14.661,11.002,11.798,12.309,9.282,10.753,NA
14.827,11.009,11.803,12.306,NA,10.751,9.511
14.828,NA,NA,NA,9.273,NA,NA
14.994,10.994,11.803,12.286,9.266,10.757,9.518
15.16,10.991,NA,12.298,9.273,NA,NA
15.161,NA,11.789,NA,NA,10.76,9.512
15.327,NA,11.784,NA,NA,10.758,9.511
15.328,10.995,NA,12.285,9.273,NA,NA
15.494,10.996,11.789,12.298,9.266,10.76,9.506
15.66,NA,11.781,NA,NA,10.762,NA
15.661,10.98,NA,12.288,9.262,NA,9.507
15.827,10.986,11.78,12.299,9.264,10.762,9.5
15.994,10.976,11.771,12.28,9.26,10.77,9.499
16.16,NA,11.77,12.293,NA,10.768,NA
16.161,10.98,NA,NA,9.236,NA,9.48
16.327,10.964,11.752,12.273,9.213,10.756,9.459
16.494,10.94,11.734,12.258,9.198,10.745,9.452
16.66,NA,NA,NA,NA,10.735,NA
16.661,10.93,11.711,12.231,9.177,NA,9.43
16.827,10.907,11.704,12.199,9.173,10.715,9.429
16.994,10.896,11.684,12.185,9.157,10.707,9.423
17.161,10.878,11.667,12.174,9.157,10.713,9.413
17.327,10.875,11.656,NA,9.155,10.709,9.414
17.328,NA,NA,12.157,NA,NA,NA
17.494,10.865,11.648,12.157,9.149,10.713,9.405
17.66,NA,11.645,NA,9.137,10.705,NA
17.661,10.855,NA,12.145,NA,NA,9.398
17.827,10.853,NA,12.137,NA,NA,9.396
17.828,NA,11.635,NA,9.13,10.705,NA
17.994,10.842,11.618,12.131,9.121,10.706,9.392
18.16,NA,NA,12.137,9.127,10.711,9.385
18.161,10.847,11.625,NA,NA,NA,NA
18.327,10.84,NA,12.135,9.124,10.71,9.391
18.328,NA,11.614,NA,NA,NA,NA
18.494,10.834,11.607,12.131,9.111,10.721,9.392
18.66,NA,NA,12.121,NA,NA,NA
18.661,10.839,11.594,NA,9.11,10.722,9.387
18.827,NA,NA,12.122,NA,10.699,NA
18.828,10.827,11.598,NA,9.11,NA,9.385
18.994,10.826,11.59,12.108,9.098,10.694,9.383
19.16,NA,NA,12.1,NA,NA,NA
19.161,10.818,11.58,NA,9.091,10.685,9.381
19.327,10.823,11.575,NA,9.085,10.686,9.374
