"id","treatment","run","channel","respiration","net_photosynthesis","gross_photosynthesis"
"PVC_6","PVC_0.1_mgL",1,1,-6.69391999481535e-08,-7.00059650907716e-06,-6.93365730912901e-06
"PVC_24","PVC_100_mgL",1,2,1.42712729382277e-06,-9.17773433764328e-06,-1.06048616314661e-05
"Control_3","Control",1,3,-1.15773492274034e-06,7.43765109988566e-07,1.9015000327289e-06
"PP(A)_17","PP_A_10_mgL",1,4,-1.01480839835501e-06,-2.21290140696039e-07,7.93518257658973e-07
"PP(A)_9","PP_A_0.1_mgL",1,5,-9.29081276130724e-07,-4.89934394092471e-06,-3.97026266479398e-06
"PP(A)_18","PP_A_10_mgL",2,1,2.7773573768532e-06,-5.11906460297772e-06,-7.89642197983092e-06
"PVC_23","PVC_100_mgL",2,3,-2.20773496706687e-06,-1.79501110835921e-07,2.02823385623095e-06
"PP(A)_10","PP_A_0.1_mgL",2,4,-3.84108127084273e-06,-5.34573086685653e-06,-1.5046495960138e-06
"PVC_1","PVC_0.01_mgL",2,5,2.39299800232892e-06,-4.54967586268267e-06,-6.94267386501158e-06
"PP(A)_15","PP_A_1_mgL",2,7,-3.6708001529263e-07,-3.34868599226251e-06,-2.98160597696988e-06
"PP(A)_21","PP_A_100_mgL",3,1,1.2376907311539e-06,5.82338345495653e-07,-6.55352385658244e-07
"PP(A)_5","PP_A_0.01_mgL",3,2,2.9306637965905e-06,-1.01815670344144e-06,-3.94882050003195e-06
"PVC_20","PVC_10_mgL",3,3,1.0751965579366e-06,1.07063478093719e-05,9.63115125143529e-06
"PVC_13","PVC_1_mgL",3,5,2.6413329846579e-08,-2.4343308598411e-06,-2.46074418968768e-06
"PVC_8","PVC_0.1_mgL",3,7,2.405999189794e-06,-1.70261731960615e-06,-4.10861650940014e-06
"Control_1","Control",4,2,5.11043142256856e-06,4.00070091268081e-06,-1.10973050988774e-06
"PVC_15","PVC_1_mgL",4,3,1.72544077163651e-06,2.33799331770943e-06,6.12552546072922e-07
"PVC_10","PVC_0.1_mgL",4,4,1.9183201641517e-06,1.39563701803429e-06,-5.22683146117418e-07
"PP(A)_12","PP_A_1_mgL",4,5,1.66610488913628e-05,-1.3496544702567e-06,-1.80107033616195e-05
"PP(A)_2","PP_A_0.01_mgL",4,7,1.59885341053953e-05,-1.83805187012488e-06,-1.78265859755202e-05
"PP(A)_7","PP_A_0.1_mgL",5,1,3.36029736565004e-06,2.16664851931131e-06,-1.19364884633873e-06
"PVC_2","PVC_0.01_mgL",5,2,2.20646431978911e-06,1.18927151220197e-06,-1.01719280758714e-06
"PVC_16","PVC_10_mgL",5,4,1.34588700236539e-05,-9.87401197319527e-06,-2.33328819968491e-05
"PP(A)_19","PP_A_10_mgL",5,5,-4.95204359650588e-06,-1.67010220348433e-06,3.28194139302155e-06
"PP(A)_24","PP_A_100_mgL",5,7,1.15627524988367e-06,-6.33264771606171e-07,-1.78954002148984e-06
"PVC_25","PVC_100_mgL",6,1,3.54739103936066e-06,-4.62138547690675e-06,-8.16877651626741e-06
"PVC_18","PVC_10_mgL",6,2,1.27364946968821e-06,3.25510187149824e-06,1.98145240181002e-06
"Control_5","Control",6,3,-7.44122899257462e-06,3.57719292099246e-06,1.10184219135671e-05
"PVC_4","PVC_0.01_mgL",6,4,2.36665190814948e-06,1.43951577462309e-06,-9.2713613352639e-07
"PP(A)_13","PP_A_1_mgL",6,7,-2.72931485866034e-05,-2.22375180538961e-07,2.70707734060645e-05
"PVC_12","PVC_1_mgL",7,1,2.78452218949587e-06,-6.39624771920762e-06,-9.18076990870349e-06
"PVC_9","PVC_0.1_mgL",7,2,5.6796884445236e-07,-2.39339904194641e-06,-2.96136788639877e-06
"PP(A)_20","PP_A_10_mgL",7,3,4.39921383421206e-06,3.97413049341729e-08,-4.35947252927788e-06
"PP(A)_8","PP_A_0.1_mgL",7,4,3.22797061510723e-06,-3.04863759838232e-06,-6.27660821348954e-06
"PP(A)_3","PP_A_0.01_mgL",7,5,2.89270927005161e-06,-5.6265169867336e-06,-8.51922625678522e-06
"PVC_17","PVC_10_mgL",8,1,4.46386251589924e-07,4.24740388509215e-06,3.80101763350223e-06
"PP(A)_22","PP_A_100_mgL",8,2,-2.87456879818652e-06,8.71344818244521e-07,3.74591361643104e-06
"PP(A)_4","PP_A_0.01_mgL",8,3,-1.40537190650564e-06,4.93917424480225e-06,6.34454615130789e-06
"Control_4","Control",8,4,-1.65748664731098e-06,1.68285245862472e-06,3.3403391059357e-06
"PVC_14","PVC_1_mgL",8,7,-2.28445391159316e-06,1.93940937673135e-06,4.22386328832452e-06
"PP(A)_16","PP_A_10_mgL",9,1,1.77381352710645e-07,4.91278138517186e-07,3.13896785806541e-07
"PVC_7","PVC_0.1_mgL",9,2,-1.86771399578314e-07,5.76328328436997e-07,7.63099728015311e-07
"PVC_3","PVC_0.01_mgL",9,3,5.72603772800102e-07,5.56563639611704e-06,4.99303262331694e-06
"PP(A)_6","PP_A_0.1_mgL",9,5,1.98313797640174e-06,3.24225277355658e-06,1.25911479715484e-06
"PP(A)_11","PP_A_1_mgL",9,7,3.71919392406074e-06,-1.03560191049516e-06,-4.7547958345559e-06
"PVC_21","PVC_100_mgL",10,1,-1.48576343871601e-06,-5.59135578163606e-06,-4.10559234292005e-06
"PP(A)_25","PP_A_100_mgL",10,2,-4.27034719925586e-06,4.5514601733167e-08,4.31586180098903e-06
"PP(A)_1","PP_A_0.01_mgL",10,4,-4.55493422400263e-06,-5.88880890927717e-07,3.96605333307492e-06
"PVC_19","PVC_10_mgL",10,5,4.31759323900017e-07,-8.05634517748044e-06,-8.48810450138046e-06
"PP(A)_14","PP_A_1_mgL",10,7,-4.8553973705974e-06,-2.13929617572441e-06,2.71610119487299e-06
"Control_2","Control",11,1,4.68856854785407e-06,4.17731237050298e-06,-5.11256177351089e-07
"PP(A)_23","PP_A_100_mgL",11,3,-3.2732084014321e-06,5.3336057158133e-06,8.6068141172454e-06
"PVC_5","PVC_0.01_mgL",11,4,3.86322917406243e-06,1.88557328407634e-06,-1.97765588998609e-06
"PVC_11","PVC_1_mgL",11,5,-6.1248995863603e-07,6.75618955306394e-06,7.36867951169997e-06
"PVC_22","PVC_100_mgL",11,7,2.14433333338531e-06,1.288499953754e-05,1.07406662041547e-05
